hour,fluid,used_coolprop,T_evap_sat_K,T_cond_sat_K,P_evap_kPa,P_cond_kPa,h1,h2s,h2,h3
0,Water,1,317.363556,322.363556,9.213662,11.877903,2590676.789961,2629550.166863,2646210.185535,193510.020195
1,Water,1,316.375245,321.375245,8.753001,11.304383,2588909.493430,2627951.441773,2644683.705348,189377.885554
2,Water,1,315.459624,321.150000,8.344068,11.177053,2587270.531422,2631965.109167,2651119.928200,188436.164404
3,Water,1,314.674709,321.150000,8.006728,11.177053,2585864.297417,2637009.263503,2658928.534683,188436.164404
4,Water,1,314.087214,321.150000,7.761995,11.177053,2584811.020868,2640831.802831,2664840.709387,188436.164404
5,Water,1,313.622476,321.150000,7.572997,11.177053,2583977.387526,2643884.600349,2669559.120130,188436.164404
6,Water,1,313.240335,321.150000,7.420579,11.177053,2583291.627309,2646414.230028,2673466.774051,188436.164404
7,Water,1,312.917014,321.150000,7.293697,11.177053,2582711.218332,2648568.304543,2676792.770061,188436.164404
8,Water,1,312.637412,321.150000,7.185487,11.177053,2582209.145703,2650441.387147,2679683.776337,188436.164404
9,Water,1,312.391417,321.150000,7.091432,11.177053,2581767.306936,2652097.279215,2682238.695906,188436.164404
10,Water,1,312.171963,321.150000,7.008425,11.177053,2581373.049395,2653580.832341,2684527.025032,188436.164404
11,Water,1,311.973938,321.150000,6.934245,11.177053,2581017.221478,2654924.648442,2686599.259997,188436.164404
12,Water,1,311.793543,321.150000,6.867261,11.177053,2580693.013180,2656153.092437,2688493.126404,188436.164404
13,Water,1,311.627881,321.150000,6.806240,11.177053,2580395.234151,2657284.805101,2690237.478365,188436.164404
14,Water,1,311.474699,321.150000,6.750235,11.177053,2580119.846708,2658334.336658,2691854.832350,188436.164404
15,Water,1,311.332214,321.150000,6.698498,11.177053,2579863.653795,2659313.243131,2693363.067132,188436.164404
16,Water,1,311.198991,321.150000,6.650435,11.177053,2579624.084583,2660230.842639,2694776.596092,188436.164404
17,Water,1,311.073862,321.150000,6.605563,11.177053,2579399.043515,2661094.749757,2696107.195289,188436.164404
18,Water,1,310.955864,321.150000,6.563489,11.177053,2579186.801723,2661911.261115,2697364.600855,188436.164404
19,Water,1,310.844191,321.150000,6.523884,11.177053,2578985.917435,2662685.638911,2698556.948115,188436.164404
20,Water,1,310.738168,321.150000,6.486474,11.177053,2578795.176615,2663422.322863,2699691.099827,188436.164404
21,Water,1,310.637220,321.150000,6.451028,11.177053,2578613.548035,2664125.091079,2700772.895241,188436.164404
22,Water,1,310.540855,321.150000,6.417347,11.177053,2578440.148788,2664797.183806,2701807.341671,188436.164404
23,Water,1,310.448647,321.150000,6.385261,11.177053,2578274.217479,2665441.399817,2702798.763676,188436.164404
24,Water,1,310.360230,321.150000,6.354625,11.177053,2578115.093157,2666060.172328,2703750.920544,188436.164404
25,Water,1,310.275281,321.150000,6.325311,11.177053,2577962.198580,2666655.629414,2704667.099772,188436.164404
26,Water,1,310.193518,321.150000,6.297206,11.177053,2577815.026789,2667229.642546,2705550.192156,188436.164404
27,Water,1,310.114691,321.150000,6.270213,11.177053,2577673.130251,2667783.865919,2706402.752635,188436.164404
28,Water,1,310.038580,321.150000,6.244245,11.177053,2577536.111999,2668319.768594,2707227.049991,188436.164404
29,Water,1,309.964986,321.150000,6.219225,11.177053,2577403.618356,2668838.660938,2708025.107760,188436.164404
30,Water,1,309.893736,321.150000,6.195084,11.177053,2577275.332900,2669341.716558,2708798.738126,188436.164404
31,Water,1,309.824668,321.150000,6.171760,11.177053,2577150.971454,2669829.990581,2709549.570206,188436.164404
32,Water,1,309.757642,321.150000,6.149198,11.177053,2577030.277868,2670304.435010,2710279.073785,188436.164404
33,Water,1,309.692529,321.150000,6.127348,11.177053,2576913.020476,2670765.911683,2710988.579344,188436.164404
34,Water,1,309.629210,321.150000,6.106165,11.177053,2576798.989084,2671215.203268,2711679.295061,188436.164404
35,Water,1,309.567580,321.150000,6.085608,11.177053,2576687.992412,2671653.022641,2712352.321311,188436.164404
36,Water,1,309.507541,321.150000,6.065640,11.177053,2576579.855898,2672080.020929,2713008.663085,188436.164404
37,Water,1,309.449004,321.150000,6.046225,11.177053,2576474.419807,2672496.794424,2713649.240688,188436.164404
38,Water,1,309.391889,321.150000,6.027334,11.177053,2576371.537611,2672903.890564,2714274.898972,188436.164404
39,Water,1,309.336119,321.150000,6.008937,11.177053,2576271.074568,2673301.813128,2714886.415368,188436.164404
40,Water,1,309.281626,321.150000,5.991008,11.177053,2576172.906497,2673691.026752,2715484.506862,188436.164404
41,Water,1,309.228346,321.150000,5.973523,11.177053,2576076.918702,2674071.960888,2716069.836111,188436.164404
42,Water,1,309.176219,321.150000,5.956460,11.177053,2575983.005032,2674445.013268,2716643.016798,188436.164404
43,Water,1,309.125192,321.150000,5.939797,11.177053,2575891.067053,2674810.552959,2717204.618347,188436.164404
44,Water,1,309.075212,321.150000,5.923515,11.177053,2575801.013314,2675168.923056,2717755.170089,188436.164404
45,Water,1,309.026233,321.150000,5.907597,11.177053,2575712.758707,2675520.443075,2718295.164946,188436.164404
46,Water,1,308.978211,321.150000,5.892026,11.177053,2575626.223887,2675865.411061,2718825.062708,188436.164404
47,Water,1,308.931104,321.150000,5.876786,11.177053,2575541.334767,2676204.105488,2719345.292939,188436.164404
48,Water,1,308.884873,321.150000,5.861863,11.177053,2575458.022059,2676536.786931,2719856.257591,188436.164404
49,Water,1,308.839484,321.150000,5.847243,11.177053,2575376.220870,2676863.699584,2720358.333319,188436.164404
50,Water,1,308.794900,321.150000,5.832914,11.177053,2575295.870334,2677185.072605,2720851.873578,188436.164404
51,Water,1,308.751092,321.150000,5.818864,11.177053,2575216.913287,2677501.121333,2721337.210496,188436.164404
52,Water,1,308.708029,321.150000,5.805081,11.177053,2575139.295968,2677812.048389,2721814.656569,188436.164404
53,Water,1,308.665683,321.150000,5.791555,11.177053,2575062.967758,2678118.044654,2722284.506181,188436.164404
54,Water,1,308.624026,321.150000,5.778276,11.177053,2574987.880934,2678419.290176,2722747.036994,188436.164404
55,Water,1,308.583035,321.150000,5.765235,11.177053,2574913.990454,2678715.954971,2723202.511193,188436.164404
56,Water,1,308.542686,321.150000,5.752423,11.177053,2574841.253757,2679008.199767,2723651.176629,188436.164404
57,Water,1,308.502955,321.150000,5.739831,11.177053,2574769.630584,2679296.176669,2724093.267848,188436.164404
