step,date,time,T_source_out_C,T_return_C,COP,Q_out_kW,P_el_kW,Q_geo_kW,model,T_tank_C,HP_on,Q_space_req_kW,Q_dhw_req_kW,Q_space_served_kW,Q_dhw_served_kW,Q_unmet_kW,flow_src_kgps,flow_load_kgps,dP_kPa,P_pump_kW
0,2025-10-15,01:00,48.4271,47.7159,44.1662,18.2763,0.4138,-641.3194,CP,30.0000,1,1522.8000,0.3000,17.7763,0.3000,1505.0237,6.0000,26.6400,360.4050,3.0985
1,2025-10-15,02:00,46.4505,45.8311,44.0222,15.9179,0.3616,-522.6670,CP,30.0000,1,1534.8000,0.3000,15.4179,0.3000,1519.3821,6.0000,26.6400,360.4050,3.0985
2,2025-10-15,03:00,45.3096,44.7124,38.5702,15.3993,0.3993,-457.1033,CP,30.0000,1,1539.2000,0.3000,14.8993,0.3000,1524.3007,6.0000,26.6400,360.4050,3.0985
3,2025-10-15,04:00,44.5247,43.9275,33.8126,15.4571,0.4571,-414.2684,CP,30.0000,1,1535.2000,0.3000,14.9571,0.3000,1520.2429,6.0000,26.6400,360.4050,3.0985
4,2025-10-15,05:00,43.9372,43.3400,30.9436,15.5009,0.5009,-383.3822,CP,30.0000,1,1523.2000,0.3000,15.0009,0.3000,1508.1991,6.0000,26.6400,360.4050,3.0985
5,2025-10-15,06:00,43.4725,42.8752,28.9913,15.5359,0.5359,-359.8048,CP,30.0000,1,1504.4000,0.3000,15.0359,0.3000,1489.3641,6.0000,26.6400,360.4050,3.0985
6,2025-10-15,07:00,43.0903,42.4931,27.5578,15.5648,0.5648,-341.0726,CP,30.0000,1,1479.6000,3.3000,12.0648,3.3000,1467.5352,6.0000,26.6400,360.4050,3.0985
7,2025-10-15,08:00,42.7670,42.1698,26.4489,15.5894,0.5894,-325.7408,CP,30.0000,1,1450.8000,3.3000,12.0894,3.3000,1438.7106,6.0000,26.6400,360.4050,3.0985
8,2025-10-15,09:00,42.4874,41.8902,25.5579,15.6108,0.6108,-312.9003,CP,30.0000,1,1420.0000,0.3000,15.1108,0.3000,1404.8892,6.0000,26.6400,360.4050,3.0985
9,2025-10-15,10:00,42.2414,41.6442,24.8210,15.6297,0.6297,-301.9474,CP,30.0000,1,1388.8000,0.3000,15.1297,0.3000,1373.6703,6.0000,26.6400,360.4050,3.0985
10,2025-10-15,11:00,42.0220,41.4247,24.1977,15.6466,0.6466,-292.4640,CP,30.0000,1,1360.0000,0.3000,15.1466,0.3000,1344.8534,6.0000,26.6400,360.4050,3.0985
11,2025-10-15,12:00,41.8239,41.2267,23.6609,15.6619,0.6619,-284.1504,CP,30.0000,1,1335.2000,0.3000,15.1619,0.3000,1320.0381,6.0000,26.6400,360.4050,3.0985
12,2025-10-15,13:00,41.6435,41.0463,23.1916,15.6759,0.6759,-276.7857,CP,30.0000,1,1316.4000,0.3000,15.1759,0.3000,1301.2241,6.0000,26.6400,360.4050,3.0985
13,2025-10-15,14:00,41.4779,40.8807,22.7763,15.6888,0.6888,-270.2028,CP,30.0000,1,1304.4000,0.3000,15.1888,0.3000,1289.2112,6.0000,26.6400,360.4050,3.0985
14,2025-10-15,15:00,41.3247,40.7275,22.4050,15.7008,0.7008,-264.2732,CP,30.0000,1,1300.4000,0.3000,15.2008,0.3000,1285.1992,6.0000,26.6400,360.4050,3.0985
15,2025-10-15,16:00,41.1822,40.5850,22.0700,15.7119,0.7119,-258.8959,CP,30.0000,1,1304.8000,0.3000,15.2119,0.3000,1289.5881,6.0000,26.6400,360.4050,3.0985
16,2025-10-15,17:00,41.0490,40.4518,21.7654,15.7224,0.7224,-253.9904,CP,30.0000,1,1316.8000,0.3000,15.2224,0.3000,1301.5776,6.0000,26.6400,360.4050,3.0985
17,2025-10-15,18:00,40.9239,40.3266,21.4867,15.7322,0.7322,-249.4916,CP,30.0000,1,1336.0000,0.3000,15.2322,0.3000,1320.7678,6.0000,26.6400,360.4050,3.0985
18,2025-10-15,19:00,40.8059,40.2086,21.2301,15.7415,0.7415,-245.3466,CP,30.0000,1,1361.2000,0.3000,15.2415,0.3000,1345.9585,6.0000,26.6400,360.4050,3.0985
19,2025-10-15,20:00,40.6942,40.0970,20.9927,15.7503,0.7503,-241.5111,CP,30.0000,1,1390.0000,3.3000,12.2503,3.3000,1377.7497,6.0000,26.6400,360.4050,3.0985
20,2025-10-15,21:00,40.5882,39.9909,20.7720,15.7586,0.7586,-237.9488,CP,30.0000,1,1421.2000,3.3000,12.2586,3.3000,1408.9414,6.0000,26.6400,360.4050,3.0985
21,2025-10-15,22:00,40.4872,39.8900,20.5661,15.7666,0.7666,-234.6285,CP,30.0000,1,1452.4000,0.3000,15.2666,0.3000,1437.1334,6.0000,26.6400,360.4050,3.0985
22,2025-10-15,23:00,40.3909,39.7936,20.3731,15.7743,0.7743,-231.5242,CP,30.0000,1,1481.6000,0.3000,15.2743,0.3000,1466.3257,6.0000,26.6400,360.4050,3.0985
23,2025-10-16,00:00,40.2986,39.7014,20.1917,15.7816,0.7816,-228.6133,CP,30.0000,1,1506.4000,0.3000,15.2816,0.3000,1491.1184,6.0000,26.6400,360.4050,3.0985
24,2025-10-16,01:00,40.2102,39.6130,20.0207,15.7886,0.7886,-225.8767,CP,30.0000,1,1525.6000,0.3000,15.2886,0.3000,1510.3114,6.0000,26.6400,360.4050,3.0985
25,2025-10-16,02:00,40.1253,39.5281,19.8590,15.7954,0.7954,-223.2975,CP,30.0000,1,1537.6000,0.3000,15.2954,0.3000,1522.3046,6.0000,26.6400,360.4050,3.0985
26,2025-10-16,03:00,40.0435,39.4463,19.7057,15.8019,0.8019,-220.8614,CP,30.0000,1,1542.0000,0.3000,15.3019,0.3000,1526.6981,6.0000,26.6400,360.4050,3.0985
27,2025-10-16,04:00,39.9647,39.3675,19.5601,15.8082,0.8082,-218.5554,CP,30.0000,1,1538.0000,0.3000,15.3082,0.3000,1522.6918,6.0000,26.6400,360.4050,3.0985
28,2025-10-16,05:00,39.8886,39.2914,19.4215,15.8143,0.8143,-216.3685,CP,30.0000,1,1526.0000,0.3000,15.3143,0.3000,1510.6857,6.0000,26.6400,360.4050,3.0985
29,2025-10-16,06:00,39.8150,39.2178,19.2892,15.8202,0.8202,-214.2906,CP,30.0000,1,1507.2000,0.3000,15.3202,0.3000,1491.8798,6.0000,26.6400,360.4050,3.0985
30,2025-10-16,07:00,39.7437,39.1465,19.1628,15.8259,0.8259,-212.3131,CP,30.0000,1,1482.4000,3.3000,12.3259,3.3000,1470.0741,6.0000,26.6400,360.4050,3.0985
31,2025-10-16,08:00,39.6747,39.0774,19.0418,15.8314,0.8314,-210.4281,CP,30.0000,1,1453.6000,3.3000,12.3314,3.3000,1441.2686,6.0000,26.6400,360.4050,3.0985
32,2025-10-16,09:00,39.6076,39.0104,18.9258,15.8368,0.8368,-208.6286,CP,30.0000,1,1422.8000,0.3000,15.3368,0.3000,1407.4632,6.0000,26.6400,360.4050,3.0985
33,2025-10-16,10:00,39.5425,38.9453,18.8144,15.8420,0.8420,-206.9083,CP,30.0000,1,1391.6000,0.3000,15.3420,0.3000,1376.2580,6.0000,26.6400,360.4050,3.0985
34,2025-10-16,11:00,39.4792,38.8820,18.7073,15.8471,0.8471,-205.2616,CP,30.0000,1,1362.8000,0.3000,15.3471,0.3000,1347.4529,6.0000,26.6400,360.4050,3.0985
35,2025-10-16,12:00,39.4176,38.8204,18.6041,15.8521,0.8521,-203.6833,CP,30.0000,1,1338.0000,0.3000,15.3521,0.3000,1322.6479,6.0000,26.6400,360.4050,3.0985
36,2025-10-16,13:00,39.3575,38.7603,18.5047,15.8569,0.8569,-202.1689,CP,30.0000,1,1319.2000,0.3000,15.3569,0.3000,1303.8431,6.0000,26.6400,360.4050,3.0985
37,2025-10-16,14:00,39.2990,38.7018,18.4087,15.8616,0.8616,-200.7141,CP,30.0000,1,1307.2000,0.3000,15.3616,0.3000,1291.8384,6.0000,26.6400,360.4050,3.0985
38,2025-10-16,15:00,39.2419,38.6447,18.3160,15.8663,0.8663,-199.3151,CP,30.0000,1,1303.2000,0.3000,15.3663,0.3000,1287.8337,6.0000,26.6400,360.4050,3.0985
39,2025-10-16,16:00,39.1861,38.5889,18.2263,15.8708,0.8708,-197.9685,CP,30.0000,1,1307.6000,0.3000,15.3708,0.3000,1292.2292,6.0000,26.6400,360.4050,3.0985
40,2025-10-16,17:00,39.1316,38.5344,18.1395,15.8752,0.8752,-196.6710,CP,30.0000,1,1319.6000,0.3000,15.3752,0.3000,1304.2248,6.0000,26.6400,360.4050,3.0985
41,2025-10-16,18:00,39.0783,38.4811,18.0554,15.8795,0.8795,-195.4197,CP,30.0000,1,1338.8000,0.3000,15.3795,0.3000,1323.4205,6.0000,26.6400,360.4050,3.0985
42,2025-10-16,19:00,39.0262,38.4290,17.9739,15.8837,0.8837,-194.2120,CP,30.0000,1,1363.6000,0.3000,15.3837,0.3000,1348.2163,6.0000,26.6400,360.4050,3.0985
43,2025-10-16,20:00,38.9752,38.3780,17.8947,15.8879,0.8879,-193.0454,CP,30.0000,1,1392.8000,3.3000,12.3879,3.3000,1380.4121,6.0000,26.6400,360.4050,3.0985
44,2025-10-16,21:00,38.9252,38.3280,17.8179,15.8919,0.8919,-191.9175,CP,30.0000,1,1424.0000,3.3000,12.3919,3.3000,1411.6081,6.0000,26.6400,360.4050,3.0985
45,2025-10-16,22:00,38.8762,38.2790,17.7431,15.8959,0.8959,-190.8263,CP,30.0000,1,1455.2000,0.3000,15.3959,0.3000,1439.8041,6.0000,26.6400,360.4050,3.0985
46,2025-10-16,23:00,38.8282,38.2310,17.6705,15.8998,0.8998,-189.7698,CP,30.0000,1,1484.0000,0.3000,15.3998,0.3000,1468.6002,6.0000,26.6400,360.4050,3.0985
47,2025-10-17,00:00,38.7811,38.1839,17.5997,15.9036,0.9036,-188.7463,CP,30.0000,1,1509.2000,0.3000,15.4036,0.3000,1493.7964,6.0000,26.6400,360.4050,3.0985
48,2025-10-17,01:00,38.7349,38.1376,17.5308,15.9074,0.9074,-187.7539,CP,30.0000,1,1528.4000,0.3000,15.4074,0.3000,1512.9926,6.0000,26.6400,360.4050,3.0985
49,2025-10-17,02:00,38.6895,38.0923,17.4637,15.9111,0.9111,-186.7913,CP,30.0000,1,1540.4000,0.3000,15.4111,0.3000,1524.9889,6.0000,26.6400,360.4050,3.0985
50,2025-10-17,03:00,38.6449,38.0477,17.3982,15.9147,0.9147,-185.8569,CP,30.0000,1,1544.4000,0.3000,15.4147,0.3000,1528.9853,6.0000,26.6400,360.4050,3.0985
51,2025-10-17,04:00,38.6011,38.0039,17.3344,15.9183,0.9183,-184.9494,CP,30.0000,1,1540.4000,0.3000,15.4183,0.3000,1524.9817,6.0000,26.6400,360.4050,3.0985
52,2025-10-17,05:00,38.5580,37.9608,17.2720,15.9218,0.9218,-184.0674,CP,30.0000,1,1528.8000,0.3000,15.4218,0.3000,1513.3782,6.0000,26.6400,360.4050,3.0985
53,2025-10-17,06:00,38.5157,37.9185,17.2111,15.9253,0.9253,-183.2099,CP,30.0000,1,1509.6000,0.3000,15.4253,0.3000,1494.1747,6.0000,26.6400,360.4050,3.0985
54,2025-10-17,07:00,38.4740,37.8768,17.1516,15.9287,0.9287,-182.3757,CP,30.0000,1,1484.8000,3.3000,12.4287,3.3000,1472.3713,6.0000,26.6400,360.4050,3.0985
55,2025-10-17,08:00,38.4330,37.8358,17.0935,15.9321,0.9321,-181.5637,CP,30.0000,1,1456.0000,3.3000,12.4321,3.3000,1443.5679,6.0000,26.6400,360.4050,3.0985
56,2025-10-17,09:00,38.3927,37.7955,17.0366,15.9354,0.9354,-180.7731,CP,30.0000,1,1425.2000,0.3000,15.4354,0.3000,1409.7646,6.0000,26.6400,360.4050,3.0985
57,2025-10-17,10:00,38.3530,37.7557,16.9809,15.9386,0.9386,-180.0028,CP,30.0000,1,1394.0000,0.3000,15.4386,0.3000,1378.5614,6.0000,26.6400,360.4050,3.0985
